,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
0,トランセンド SSD420 TS16GSSD420K,https://kakaku.com/item/K0001056417/,16.0,570.0,470.0,2.5インチ,SerialATA6Gb/s,MLCNAND,6.8mm,4730
1,インテル Optane Memory MEMPEK1W016GAXT,https://kakaku.com/item/K0000965617/,16.0,900.0,145.0,M.2(Type2280),PCI-Express,3DXpoint,1.5mm,4565
2,SUPER TALENT DuraDrive ZT4 FEU032MD1X,https://kakaku.com/item/K0000857252/,32.0,110.0,45.0,1.8インチ,ZIF,MLC,5mm,4730
3,SUPER TALENT FE8032MD2D,https://kakaku.com/item/K0000685152/,32.0,110.0,95.0,2.5インチ,IDE,MLC,9.5mm,5940
4,トランセンド TS32GPSD330,https://kakaku.com/item/K0000505984/,32.0,119.0,36.0,2.5インチ,IDE,MLC,7.4mm,6393
5,トランセンド SSD370 TS32GSSD370S,https://kakaku.com/item/K0000773283/,32.0,230.0,40.0,2.5インチ,SerialATA6Gb/s,MLC,6.8mm,2819
6,SUPER TALENT SATA Mini 2 PCIe DX1 FMT032JCRM,https://kakaku.com/item/K0000857256/,32.0,500.0,280.0,0,SerialATA6Gb/s,MLC,3.5mm,5820
7,トランセンド MTS800S TS32GMTS800S,https://kakaku.com/item/K0001104682/,32.0,500.0,450.0,M.2(Type2280),SerialATA6Gb/s,MLCNAND,3.58mm,3035
8,トランセンド TS32GMTS400,https://kakaku.com/item/K0000669336/,32.0,560.0,160.0,M.2(Type2242),SerialATA6Gb/s,MLC,3.5mm,4481
9,トランセンド TS32GMTS600,https://kakaku.com/item/K0000669340/,32.0,560.0,310.0,M.2(Type2260),SerialATA6Gb/s,MLC,3.5mm,2590
10,トランセンド MTS400 TS32GMTS400S,https://kakaku.com/item/K0001021158/,32.0,560.0,460.0,M.2(Type2242),SerialATA6Gb/s,NANDMLC,3.58mm,2832
11,トランセンド SSD420 TS32GSSD420K,https://kakaku.com/item/K0001056418/,32.0,570.0,470.0,2.5インチ,SerialATA6Gb/s,MLCNAND,6.8mm,6202
12,インテル Optane Memory MEMPEK1W032GAXT,https://kakaku.com/item/K0000967276/,32.0,1350.0,290.0,M.2(Type2280),PCI-Express,3DXpoint,1.5mm,6980
13,IBM 43W7714,https://kakaku.com/item/K0000353597/,50.0,80.0,50.0,2.5インチ,SerialATA,SLC,9.5mm,156720
14,IBM 43W7726,https://kakaku.com/item/K0000353599/,50.0,140.0,18.0,1.8インチ,SerialATA,0,0,140032
15,インテル Optane SSD 800P SSDPEK1W060GA01,https://kakaku.com/item/K0001048947/,58.0,1450.0,640.0,M.2(Type2280),PCI-Express,3DXpoint,0,13640
16,SUPER TALENT DuraDrive ZT4 FEU064MD1X,https://kakaku.com/item/K0000857253/,64.0,110.0,72.0,1.8インチ,ZIF,MLC,5mm,7150
17,SUPER TALENT FE8064MD2D,https://kakaku.com/item/K0000685153/,64.0,110.0,95.0,2.5インチ,IDE,MLC,9.5mm,7480
18,トランセンド TS64GPSD330,https://kakaku.com/item/K0000505985/,64.0,115.0,64.0,2.5インチ,IDE,MLC,7.4mm,10593
19,SUPER TALENT DuraDrive AT7 FTM064MU2P,https://kakaku.com/item/K0000968787/,64.0,270.0,95.0,2.5インチ,SerialATA6Gb/s,3DMLC,6.8mm,5350
20,トランセンド SSD340 TS64GSSD340K,https://kakaku.com/item/K0000859230/,64.0,400.0,90.0,2.5インチ,SerialATA6Gb/s,MLC,6.8mm,4461
21,トランセンド SSD370 TS64GSSD370S,https://kakaku.com/item/K0000773284/,64.0,450.0,80.0,2.5インチ,SerialATA6Gb/s,MLC,6.8mm,3980
22,SUPER TALENT SATA Mini 2 PCIe DX1 FMT064JCRM,https://kakaku.com/item/K0000857257/,64.0,500.0,280.0,0,SerialATA6Gb/s,MLC,3.5mm,8200
23,トランセンド MTS800 TS64GMTS800S,https://kakaku.com/item/K0001018670/,64.0,500.0,450.0,M.2(Type2280),SerialATA6Gb/s,NANDMLC,3.58mm,4054
24,トランセンド TS64GMSA230S,https://kakaku.com/item/K0001121787/,64.0,550.0,400.0,mSATA,SerialATA6Gb/s,3DNAND,4.85mm,2980
25,トランセンド MTS950 TS64GMTS950T,https://kakaku.com/item/K0001056410/,64.0,550.0,520.0,M.2(Type2280),SerialATA6Gb/s,3DNANDTLC,3.58mm,5775
26,トランセンド TS64GMTS400,https://kakaku.com/item/K0000669337/,64.0,560.0,160.0,M.2(Type2242),SerialATA6Gb/s,MLC,3.5mm,7447
27,トランセンド TS64GMTS600,https://kakaku.com/item/K0000669341/,64.0,560.0,310.0,M.2(Type2260),SerialATA6Gb/s,MLC,3.5mm,4138
28,トランセンド MTS400 TS64GMTS400S,https://kakaku.com/item/K0001018674/,64.0,560.0,460.0,M.2(Type2242),SerialATA6Gb/s,NANDMLC,3.58mm,4180
29,トランセンド SSD420 TS64GSSD420K,https://kakaku.com/item/K0001056419/,64.0,570.0,470.0,2.5インチ,SerialATA6Gb/s,MLCNAND,6.8mm,8087
30,インテル X25-M Mainstream SATA SSD SSDSA2MH080G1,https://kakaku.com/item/05371910212/,80.0,250.0,70.0,2.5インチ,SerialATA,MLC,0,41638
31,インテル Optane SSD 800P SSDPEK1W120GA01,https://kakaku.com/item/K0001048948/,118.0,1450.0,640.0,M.2(Type2280),PCI-Express,3DXpoint,0,26790
32,エレコム ESD-ED0120GBK [ブラック],https://kakaku.com/item/K0001078811/,120.0,300.0,50.0,0,USB,TLC,0,2943
33,バッファロー SSD-PL120U3-BK,https://kakaku.com/item/K0000961672/,120.0,340.0,200.0,0,USB,0,0,4796
34,バッファロー SSD-PL120U3-BK/N [ブラック],https://kakaku.com/item/K0000986770/,120.0,340.0,320.0,0,USB,0,0,3380
35,エレコム ESD-EA0120GRD [レッド],https://kakaku.com/item/K0000909920/,120.0,350.0,60.0,0,USB,TLC,0,5907
36,エレコム ESD-JEC0120GBK [ブラック],https://kakaku.com/item/K0001082288/,120.0,350.0,350.0,0,USB,TLC,0,3780
37,Silicon Power SP120GBTSDT11013 [シルバー],https://kakaku.com/item/K0000602831/,120.0,380.0,340.0,0,0,0,0,10428
38,HI-DISC HDEXSSD120GPM10TD,https://kakaku.com/item/K0001055857/,120.0,400.0,300.0,0,USB,0,0,2849
39,KingFast F6 PRO 2710DCS23-120,https://kakaku.com/item/K0001004406/,120.0,400.0,390.0,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,3276
40,グリーンハウス GH-SSDU3B120,https://kakaku.com/item/K0000931278/,120.0,400.0,400.0,0,USB,TLC,0,10780
41,エレコム ESD-EC0120GWH [ホワイト],https://kakaku.com/item/K0001038561/,120.0,410.0,400.0,0,USB,TLC,0,3480
42,SANDISK エクストリーム 500 SDSSDEXT-120G-G25,https://kakaku.com/item/K0000859655/,120.0,415.0,340.0,0,USB,0,0,9929
43,バッファロー SSD-PM120U3A-B [ブラック],https://kakaku.com/item/K0000959497/,120.0,421.6,370.0,0,USB,0,0,2979
44,Corsair Force Series LE200 CSSD-F120GBLE200B,https://kakaku.com/item/K0001060405/,120.0,470.0,450.0,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,7150
45,KINGMAX KM120GSMV32,https://kakaku.com/item/K0001043869/,120.0,500.0,300.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,1995
46,キングストン A400 SSD SA400S37/120G,https://kakaku.com/item/K0000956839/,120.0,500.0,320.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,2450
47,グリーンハウス GH-SSDR2SA120,https://kakaku.com/item/K0001083589/,120.0,500.0,400.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,1949
48,Silicon Power Bolt B80 SP120GBPSDB80SCS [シルバー],https://kakaku.com/item/K0001034101/,120.0,500.0,450.0,0,USB,0,0,8456
49,addlink S20 ad120GBS20S3S,https://kakaku.com/item/K0001217878/,120.0,510.0,400.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,2480
50,グリーンハウス GH-SSD32E120,https://kakaku.com/item/K0000827664/,120.0,520.0,200.0,2.5インチ,SerialATA6Gb/s,MLC,7mm,10280
51,ADATA Ultimate SU650 ASU650SS-120GT-R,https://kakaku.com/item/K0001090766/,120.0,520.0,320.0,2.5インチ,SerialATA6Gb/s,3DNAND,7mm,2090
52,トランセンド SSD220 TS120GSSD220S,https://kakaku.com/item/K0000883279/,120.0,520.0,450.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,6.8mm,2780
