,capacity_sum,generation,PRICE
0,0.064,0.0,4019.0
1,0.128,0.0,2013.0
2,0.128,1.0,1837.0
3,0.256,0.0,846.0
4,0.256,1.0,180.0
5,0.256,2.0,528.0
6,0.512,0.0,10554.0
7,0.512,1.0,480.0
8,0.512,2.0,399.0
9,1.0,1.0,800.0
10,1.0,2.0,500.0
11,1.0,3.0,999.0
12,1.024,1.0,1444.0
13,1.024,2.0,2728.0
14,2.0,1.0,8641.0
15,2.0,2.0,1030.0
16,2.0,3.0,990.0
17,2.0,4.0,3062.0
18,3.0,3.0,6921.0
19,4.0,2.0,2090.0
20,4.0,3.0,1460.0
21,4.0,4.0,1920.0
22,6.0,3.0,4600.0
23,8.0,2.0,21800.0
24,8.0,3.0,2680.0
25,8.0,4.0,3150.0
26,12.0,3.0,7020.0
27,16.0,2.0,43800.0
28,16.0,3.0,5310.0
29,16.0,4.0,5850.0
30,24.0,3.0,14900.0
31,24.0,4.0,36380.0
32,32.0,3.0,16083.0
33,32.0,4.0,10980.0
34,48.0,4.0,48376.0
35,64.0,3.0,32400.0
36,64.0,4.0,24500.0
37,96.0,4.0,80668.0
38,128.0,3.0,233856.0
39,128.0,4.0,56700.0
40,192.0,4.0,129808.0
41,256.0,4.0,148100.0
